ID,英単語,日本語訳,フレーズ(英語),フレーズ(日本語),文中の英単語,文中の日本語,備考
697,garment,名：衣料品,garment manufacturers,衣料品メーカー,garment,衣料品,garmentは、a piece of clothingの意味で、個別の服を指す可算名詞。 「衣類」の意味のclothingは不可算名詞。
698,attribute,動：起因すると考える・おかげであるとする,Tex attributes his success to luck.,テックスは自分が成功したのは幸運のおかげだとしている。,attributes,おかげだとしている,attribute A to B（AをBのおかげとする）の形で押さえる。Tex's success is attributed to luck.のように受け身でも使われる。
699,vacant,形：空の・空いた・欠員の,a vacant unit in an apartment building,アパートの空室,vacant,空室,vacの語源は「空（カラ）」。名詞のvacancyは「仕事の空き、空き部屋」、動詞のvacateは「場所を空ける、立ちのく」の意味。
700,reportedly,副：伝えられるところでは,She will reportedly play the lead role.,伝えられるところでは、彼女が主役を演じる予定だ。,reportedly,伝えられるところでは,類：allegedly（伝えられるところでは）
701,state-of-the-art,形：最新式の・最先端の,state-of-the-art equipment,最新式の機器,state-of-the-art,最新式の,類：up-to-date（最新式の）・latest（最新の）
702,vital,形：不可欠な・非常に重要な,Good communication is vital in the workplace.,良好なコミュニケーションが職場では不可欠だ。,vital,不可欠だ,「vit（命）」が語源。同意源にvitamin（ビタミン：命のもと）、「vitality（バイタリティ：生命力）」がある。文法的に、It is vital that S+(should) V.の形を取ることも押さえたい。類：essential/crucial（非常に重要な）
703,revitalize,動：再活性化する・復興する,revitalize a community,地域を再活性化する,revitalize,再活性化する,前問のvitalと同意源で、re（再び）+vit（命）を吹き込むこと。
704,personalize,動：名入れする・特注にする,personalize a product,製品に名入れする,personalize,名入れする,名前やイニシャルを入れる等、personal（個人用）にすることを指す。類：customize（特注生産する）
705,masterpiece,名：傑作,a masterpiece of European painting,ヨーロッパ絵画の傑作,masterpiece,傑作,「マスターピース」とカタカナ語で企業名やブランド名等にも使われている単語。
706,portfolio,名：作品集・有価証券一覧,Please include your portfolio.,作品集を添えてください。,portfolio,作品集,portfolioには「有価証券一覧」や「製品ライン」の意味もあるが、TOEICではこの意味が最頻出。求人への応募条件の一つで出る。
707,voucher,名：引換券,a travel voucher,旅行券,voucher,引換券,お金の代わりに商品やサービスと交換できる券のこと。文脈によって、「宿泊券、食事券、商品券」といった意味になる。類：coupon（クーポン）・gift certificate（商品券）
708,renowned,形：名高い・有名な,a renowned architect,名高い建築家,renowned,名高い,「有名な」の意味のTOEIC重要語：famous / well-known / eminent / prominent / celebrated / noted / notable
709,cuisine,名：料理,French cuisine,フランス料理,cuisine,料理,本試験で「Hibachi Restaurant」が登場したことがあるが、もちろん「火鉢」の意味ではなく、鉄板焼きレストランのことである。
710,capture,動：記録する・とらえる,Photographs capture memorable moments in life.,写真は人生の思い出の瞬間を記録します。,capture,記録する,TOEICでは「逮捕する、捕獲する」ではなく、この「（写真、絵、文章等を）形あるものに記録する」の意味が重要。日本語でも、「思い出の瞬間をとらえた1枚」といった文脈で使われる。
711,encounter,動：(問題や困難に)直面する・遭う・出くわす 名：遭遇,encounter a serious problem,問題に直面する,encounter,直面する,人と偶然出会う、の意味もある。名作映画『未知との遭遇』の原題は「Close Encounters of the Third Kind」（地球外生命体との接近遭遇）。
712,prominently,副：目立って・傑出して,prominently displayed in a magazine,雑誌に目立って掲載されている,prominently,目立って,prominentは「突出した」が語源で、ここでは雑誌の中で大きく扱われているイメージ。類：prominent（著名な・重要な）
713,undergo,動：(検査・研修等)を受ける,undergo training,トレーニングを受ける,undergo,受ける,検査やトレーニング等、受ける必要があるもののunder（下）にgo（行く）イメージ。
714,situated,形：位置している,"Situated downtown, the hotel is convenient.",中心街に位置していて、そのホテルは便利だ。,Situated,位置していて,situatedや類義語のlocatedは、広告等でこのように文頭で使われるケースがある。会社や店舗が集まっている町の中心地を指す downtown はLでも頻出。
715,moderate,形：ほどほどの・適度な,show moderate interest,そこそこの関心を示す,moderate,そこそこの,not extreme（極端ではない）の意味。副：moderately（ほどほどに・まずまず） 例：a moderately priced item（中価格帯の商品）
716,conflict,名：対立・衝突,because of a scheduling conflict,スケジュールがかち合ったので,conflict,かち合った,TOEICの世界では、登場人物のスケジュール管理がかなり適当なため、妹の結婚式の日にバスケットの試合のチケットを取るといったありえないダブルブッキングがしばしば発生する。
717,acquaintance,名：知人,friends and acquaintances,友人や知人,acquaintances,知人,動詞のacquaint（知らせる）も重要。例：Please acquaint yourself with our policies.（当社のポリシーを知っておいてください）
718,critic,名：評論家・批評家,positive reviews from critics,評論家からの好意的なレビュー,critics,評論家,派生語と合わせて文法問題にも頻出。動：criticize（批判する） 形：critical（重要な・批判的な） 副：critically（批評的に）
719,thrilled,形：とてもわくわくして・とても興奮して,I'm thrilled to see you.,お会いできてとても感激しています。,thrilled,感激しています,very excitedの意味。「スリルがある→怖い」の意味ではないことに注意。
720,abundant,形：豊富な・十分な,abundant opportunities for career advancement,キャリアアップのためのあり余る機会,abundant,あり余る,十分量が多いことを指し、abundant natural resources（豊富な天然資源）といった形でも使われる。
721,dairy,名：乳製品・酪農場・酪農業,fat-free dairy products,無脂肪の乳製品,dairy,乳製品,-freeは「無料」の意味ではなく、「〜がない」の意味なのに注意。カタカナ語にもなっている「sugar-free」「duty-free」はそれぞれ「砂糖が入っていない」「税金がかからない」の意味。
722,managerial,形：管理職の・経営上の,experience at a managerial level,管理職のレベルでの経験,managerial,管理職の,manageable（管理可能な）との区別がパート5で問われたことがある。
723,patronage,名：愛顧・後援,We appreciate your patronage.,ご愛顧に感謝いたします。,patronage,ご愛顧,特定の店やサービスをひいきにすること。関連語のpatron（上顧客）も重要語。
724,last-minute,形：土壇場の・間際になっての,a last-minute change,間際になっての変更,last-minute,間際になっての,TOEICの世界では、フライトやイベントの予約を間際になって変更するケースが多発するが、それに文句を言う旅行代理店の担当者やアシスタントはいない。
725,exclusively,副：限定で・独占的に,available exclusively to our members,メンバー限定で利用できる,exclusively,限定で,ex（外）をclose（締め出す）が原義。形容詞のexclusive（限定の）も重要。例：an exclusive fitness club（会員制のジム）・the exclusive right（独占権）
726,perspective,名：見方・視点・考え方,a useful perspective on the topic,その話題についての役に立つ考え方,perspective,考え方,パート5・6の語彙問題で数度出題例がある。類：viewpoint（見方・観点）
727,measure,名：対策・手段,safety measures,安全対策,measures,対策,関：cost-cutting measures（コスト削減策）・preventive measures（予防策）
728,premises,名：敷地,on the premises,敷地内で,premises,敷地内,会社や店のある建物と土地を指し、文脈によって「敷地内」「社内」「建物内」といった意味になる。
729,faculty,名：教授陣・学部,a faculty member at Tex College,テックス大学の教授陣の一員,faculty,教授陣,「教授陣」の意味がTOEICでは最頻出。
730,revenue,名：収入,advertising revenue,広告収入,revenue,収入,revenueは会社に入るお金を指し、類義語のincomeは個人の収入を指す。
731,initiate,動：始める,initiate a negotiation,交渉を開始する,initiate,開始する,同意源のinitiative（主導権、新計画）同様、「先頭に立って始める」イメージの単語。
732,compile,動：取りまとめる・編集する,a list of participants,参加者のリストを取りまとめる,compile,取りまとめる,バラバラの情報を1冊の本、リスト、記録等に取りまとめること。
733,commission,動：委託する・任命する 名：委員会・歩合,The report was commissioned by Tex Corporation.,その報告書はテックス社からの委託を受けたものだ。,commissioned,委託を受けた,報告書や調査書を取りまとめるよう正式に依頼すること。「委員会」の意味の名詞でも出る。
734,biography,名：人物紹介・伝記,the biography of Steve Jobs,スティーブ・ジョブズの伝記,biography,人物紹介,「ある人の経歴を別の人が文書にまとめたもの」の意味。「イベントに参加するアーティストの経歴紹介」の意味でパート5で出た。類：autobiography（自叙伝）
735,manuscript,名：原稿,edit a manuscript,原稿を編集する,manuscript,原稿,同：draft（原稿・ドラフト）
736,vast,形：非常に大きな・莫大な,the vast majority of people in Japan,日本にいる人の大多数,vast,大多数,vastは数や量が非常に大きい様子を表す。例：vast quantities（莫大な数）
737,obstacle,名：障害,overcome an obstacle,障害を乗り越える,obstacle,障害,TOEICの世界では、障害を乗り越え、「化学者→料理研究家」「音楽家→パン屋」といったまったく畑違いの分野で成功を収める驚異の人物がしばしば登場する。
738,circulation,名：(図書館の)貸出・発行部数・流通,a circulation desk,貸出カウンター,circulation,貸出,TOEICではこの意味が最頻出。Lでも図書館の館内放送で出る。
739,detect,動：見つける・検知する,detect an error,ミスを見つける,detect,見つける,パート5ではundetected（見つけることができない）という難易度の高い形容詞の出題例があるが、un(not)+detected(見つけられる)と考えれば意味を推測できる。関：smoke detector（煙探知機）
740,solely,副：唯一・一人で・単独で,be solely responsible for the decision,結論に一人で責任を持つ,solely,一人で,TOEICの世界では、仕事に対する責任感が薄く、何でも他人任せの社員は登場しない。
741,strikingly,副：著しく,strikingly different,はっきり異なる,strikingly,はっきり,「人の心をstrike（打つ）」から、「ぱっと見て気付くくらい」のニュアンス。類：markedly/noticeably different（著しく異なる）
742,weigh,動：比較検討する・重さを量る,weigh an offer,オファーを比較検討する,weigh,比較検討する,「天秤にかける」イメージの動詞。
743,originate,動：〜始発である・〜を起点とする・〜から生じる,The trains originate from Tokyo Station.,それらの電車は東京駅始発です。,originate,始発です,「〜が元（origin）になっている」の意味。
744,confines,名：範囲・制約,within the confines of the law,法律の範囲内で,confines,範囲,within the confines of（〜の範囲内で）のフレーズで覚えるべき単語。
745,obligation,名：義務,have no obligation to do,〜をする義務がない,obligation,義務,動：obligate（義務を負わせる）
746,fierce,形：激烈な・(しれつ)な,fierce competition,激しい競争,fierce,激しい,TOEICの世界には、「気性が荒い」人や「どう猛な」動物は存在しないので、こうした意味で出ることはまずない。類：intense（激しい）
747,coincide,動：同時に起こる,The event coincides with Tex's birthday.,そのイベントはテックスの誕生日と重なっている。,coincides,重なっている,名：coincidence（偶然） 類：simultaneously（同時に）
748,instrumental,形：重要な役割を果たす,Tex was instrumental in the project.,テックスはそのプロジェクトで重要な存在だった。,instrumental,重要な存在だった,音楽を奏でるのに重要な役割を果たすのが instrument（楽器）。
749,proficient,形：堪能な・熟達した,be proficient in English,英語が堪能な,proficient,堪能な,名：proficiency（熟達） 類：skillful（スキルの高い）・accomplished（熟練した）
750,speculation,名：推測・推量,speculation from industry experts,業界の専門家の推測,speculation,推測,パート5の語彙問題で出題例有り。動：speculate（推測する）
751,relevant,形：関連した,topics relevant to the work,仕事に関連した話題,relevant,関連した,同意語のrelated（関連した）も重要。関：a related field（関連分野）
752,fraction,名：ごく少量・ほんの一部,only a fraction of the original price,元の価格のごく一部,fraction,ごく一部,a fraction of A（Aのごく一部、ほんのわずかのA）のフレーズで押さえる。
753,subtle,形：気付きづらい・見つけにくい・微妙な,subtle differences,微妙な違い,subtle,微妙な,副詞のsubtly（微妙に）も文法問題で出題例がある。
754,overwhelm,動：圧倒する,Tex is overwhelmed with paperwork.,テックスは事務作業の多さに圧倒されている。,overwhelmed,圧倒されている,仕事量や問題で気持ちが参ったり圧倒されたりすることを示す単語。形：overwhelming（圧倒的な）
755,prosperous,形：繁栄している・裕福な,a prosperous town,栄えている町,prosperous,栄えている,TOEICの世界には、ゴーストタウンのように朽ち果てた町は存在せず、どの町も栄えている。名：prosperity（繁栄）
756,initiative,名：新しい計画・主導権,a growth initiative,成長のための新計画,initiative,新計画,自ら先頭に立って引っ張っていくイメージの単語で、ここでは「会社を引っ張っていこうとする新しい計画」の意味。文脈によっては「リーダーシップ」「主導権」といった意味にもなる。
757,crucial,形：非常に重要な,Innovation is crucial for business success.,技術革新は会社の成功に非常に重要だ。,crucial,非常に重要,類：essential/pivotal/vital（非常に重要な）
758,enthusiastically,副：熱心に,The community enthusiastically supports the event.,地域ではそのイベントを熱心に支援しています。,enthusiastically,熱心に,派生語も文法問題で頻出。形：enthusiastic（熱心な） 名：enthusiasm（熱心さ）・enthusiast（ファン）
759,sequence,名：連続・順番,a sequence of events,一連の出来事,sequence,一連の,a sequence of（一連の〜）のフレーズで押さえる。類：a series of（一連の〜）
760,excursion,名：お出かけ・小旅行,a shopping excursion,買い物のお出かけ,excursion,お出かけ,TOEICの世界には、平日に社内ピクニックを開催し、顧客からの電話に留守電対応する会社が実在する。
761,picturesque,形：絵のように美しい,a picturesque village,絵のように美しい村,picturesque,絵のように美しい,picture（絵）のように美しいという意味。
762,timepiece,名：時計,an antique timepiece,アンティークの時計,timepiece,時計,時（time）を刻むモノ（piece）のこと。パート7でwatchやclockの言い換えとして狙われるので覚えておこう。
763,preliminary,形：仮の・暫定の・本番前の,preliminary results from a survey,調査の暫定結果,preliminary,暫定,「本番前の」のイメージの単語。スポーツの予選ラウンドは preliminary round、シーズン前の試合は preliminary match。
764,execute,動：実行する,execute a plan,計画を実行する,execute,実行する,類義語のimplement（実行する）・enforce（施行する）も重要。
765,utmost,形：最大限の・これ以上ない,a matter of the utmost importance,この上なく重要な事項,utmost,この上なく,「most（最大の）の中でも一番」といったイメージの単語。
766,commence,動：始まる,Construction will commence in September.,建設作業は9月に始まる。,commence,始まる,米国の高校や大学の卒業式は、新生活の始まりなので、commencement（始まり）と呼ばれる。Steve Jobsのスタンフォード大学の卒業式での伝説のスピーチは Commencement Address である。同：begin/start（始まる）
767,scope,名：範囲・余地,the scope of the study,調査の範囲,scope,範囲,類：range（範囲）
768,counterpart,名：〜に相当するもの,British shoppers and their American counterparts,イギリスの買い物客とアメリカのそれ（買い物客）,counterparts,それ,「東京本社のエンジニアとフランス支社のエンジニア」のように、「別の場所にいる同じ立場・役割の人・モノ」を指す。
769,patent,名：特許,apply for a patent,特許を出願する,patent,特許,TOEICの世界では、特許や著作権をめぐる裁判沙汰は決して起きない。
770,thus,副：このようにして・したがって,"shop online, thus avoiding the long lines",オンラインで買い物をして、そうして長い行列を避ける,thus,そうして,類義語のthereby（そうすることで）の出題例があるので、この単語も押さえておこう。
771,durable,形：耐久性がある・丈夫な,affordable yet durable,手ごろな価格だけれども耐久性がある,durable,耐久性がある,yetはここではbut（〜だけれども）の意味。名：durability（耐久性・丈夫さ）
772,expertise,名：専門知識,expertise in computer programming,コンピュータ・プログラミングの専門知識,expertise,専門知識,expert（専門家）が持つスキルや知識のこと。パート5での出題例もある重要ビジネス語。
773,comprehensive,形：総合的な・包括的な,a comprehensive list of products,製品の総合的なリスト,comprehensive,総合的な,「必要なものがすべて入った」イメージ。例：comprehensive review（徹底的な検討）、a comprehensive guide（総合ガイド）
774,subsequent,形：次の,the subsequent day,その次の日,subsequent,次の,同意表現の the following day（その翌日）も重要。副：subsequently（その後）
775,inclement,形：荒れ模様の,inclement weather,荒れた天気,inclement,荒れた,TOEICの世界では、悪天候や道路工事、パレード、映画のロケ等、さまざまな理由で道路がしばしば封鎖され、パート4でその旨がアナウンスされる。
776,credentials,名：資格・経歴・資質,excellent credentials as a scientist,科学者としての優れた経歴,credentials,経歴,資格や学歴、職務経験等、個人の能力を保証するものを指す。例：impeccable credentials（非の打ちどころのない経歴）
777,voluntarily,副：自発的に・自主的に,Tex voluntarily left the company.,テックスは自主的に会社を辞めた。,voluntarily,自主的に,volunteer（ボランティア）と同じく「意思」が語源。形：voluntary（自主的な）
778,liable,形：法的責任がある,We will not be liable for any damage.,当社では損害に関しては責任を負いません。,liable,責任を負いません,be liable for（〜に法的責任を負う）の形で押さえる。名：liability（法的責任）
779,complement,動：合う・補完する,The dessert complements the main dish.,そのデザートはメインディッシュに合う。,complements,合う,「良さを引き立てる」の意味。
780,conservation,名：節約・環境保護,energy conservation,エネルギーの節約,conservation,節約,「省エネ」のこと。動：conserve（保護する・保存する） 例：conserve water（水を節約する）
781,delegate,動：(権限や仕事を)委譲する・委任する・任せる,delegate authority to subordinates,部下に権限を譲り渡す,delegate,譲り渡す,TOEICの世界には、会社や部下の愚痴をこぼす上司は存在しない。
782,bid,名：入札,make a bid,入札を行う,bid,入札,たとえば、公共工事の際、数社の建設会社が見積もりを出し、最も条件の良い会社を選ぶ方法を入札と呼ぶ。ヤフオクの入札も英語では bid。
783,informally,副：くだけて・非公式に,talk informally with the general manager,部長と気軽に話をする,informally,気軽に,「堅苦しくなく、肩ひじ張らずに」といったニュアンス。反：formally（正式に・フォーマルに） 形：informal（カジュアルな・非公式の） 例：an informal party（カジュアルなパーティ）
784,unanimous,形：満場一致の,unanimous approval,満場一致の承認,unanimous,満場一致の,be unanimous in doingの形も重要。例：They were unanimous in approving the plan.（彼らは満場一致でその計画を承認した） 副：unanimously（満場一致で）
785,prospective,形：見込みのある・将来の,prospective customers,見込み客,prospective,見込み客,将来お客様になってくれそうな人のこと。名：prospect（見通し・見込み） 例：the prospect of success（成功の見込み）
786,commend,動：ほめる,a letter to commend an employee,従業員をほめるための手紙,commend,ほめる,上司やお客様が従業員を称える手紙やメールの冒頭でよく使われる単語。派生語も文法問題で出題例がある。形：commendable（称賛に値する） 副：commendably（立派に） 名：commendation（称賛）
787,remedy,名：改善策・治療薬 動：改善する・治療する,a remedy for slow sales,不振の売上に対する改善策,remedy,改善策,「悪いところを治す」が原義。動詞でも使われる。例：remedy the situation（状況を改善する）
788,detergent,名：洗剤,a special detergent,特殊な洗剤,detergent,洗剤,パート4の清掃担当者向けのトークで出た生活用語。
789,withstand,動：耐える,withstand high temperatures,高温に耐える,withstand,耐える,TOEICの世界では、製品は極限状況でも耐えられる品質でなくてはならない。
790,persuasive,形：説得力のある,give a persuasive speech,説得力のあるスピーチを行う,persuasive,説得力のある,動：persuade（説得する） 副：persuasively（説得力をもって）
791,correspondence,名：(手紙やメールでの)やり取り,in the previous correspondence,前回のやり取り,correspondence,やり取り,動：correspond（一致する・手紙でやり取りする） 形：corresponding（〜に対応する・付随する） 副：correspondingly（〜に応じて・付随して） 関：correspondent（特派員）
792,intentionally,副：意図的に,intentionally delay payments,意図的に支払いを遅らせる,intentionally,意図的に,名：intention（意図）を持っている様子を指す。形：intentional（意図的な） 類：deliberately / purposely（わざと・故意に）
793,enforce,動：施行する・実行する・強制する,enforce a new policy,新しい規則を施行する,enforce,施行する,規則や法律に force（力）で従わせるイメージ。
794,compartment,名：一区画,in the overhead compartment,頭上の収納スペース,compartment,一区画,区切られたスペースのことで、電車や飛行機の頭上にある荷物の収容スペースを指す表現として主にパート4に登場する。
795,strive,動：懸命に努力する,strive to cut costs,コスト削減のために懸命に努力する,strive,懸命に努力する,TOEICの世界には、困難に直面するとすぐに投げ出したりあきらめたりする会社や個人は存在しない。
796,eloquently,副：雄弁に,speak eloquently,雄弁に話す,eloquently,雄弁に,自分の考えや意見をうまく言葉で表現すること。形：eloquent（雄弁な） 名：eloquence（雄弁さ）
797,notable,形：注目すべき・有名な,a notable feature,注目すべき特徴,notable,注目すべき,be notable for（〜で有名な）も重要表現。
798,predecessor,名：前任者・前機種,different from the predecessor,前任者と異なる,predecessor,前任者,precede（先行する）人やモノを指す。反：successor（後継者・後継モデル）
799,hourly,形：時間給の・1時間ごとの,hourly workers,時間給の労働者,hourly,時間給の,「1時間の長さの」を意味する hourlong との区別も重要。例：an hourlong drama（1時間ドラマ）・an hourly wage（時間給）
800,outfit,動：装備する 名：ひとそろいの服,The kitchen is outfitted with new appliances.,キッチンには新しい電化製品が装備されています。,outfitted,装備されています,be outfitted with（〜を装備している）の形で押さえる。類：be equipped with（〜を装備している）
801,indicator,名：指標,a good indicator of success,成功の良い指標,indicator,指標,何かをindicate（示す）モノの意味。形：indicative（指標となる）
802,lapse,名：不備・過失・時の経過 動：期限が切れる・時が過ぎる,a security lapse,安全面の不備,lapse,不備,動詞で「（契約等が）終わる」の意味でも使われる。例：Your membership will lapse on March 31.（あなたの会員資格は3月31日で終わります）
803,token,名：印,as a token of our appreciation for,〜への我々の感謝の印として,token,印,パート5・6で何度も出題されている重要表現。前置詞のforまでをフレーズで押さえよう。
804,subsidiary,名：子会社,a subsidiary of a Japanese company,日本企業の子会社,subsidiary,子会社,大きな会社（親会社）の下にある会社のこと。
805,plumber,名：配管工,call a plumber,配管工に電話する,plumber,配管工,TOEICの世界では、なぜかしばしば水道管から水漏れが発生し、その際必ずplumberが登場する。なお、plumberのbは発音しないので、発音に注意。
806,on-site,形：社内の・現場の,The company has an on-site childcare center.,会社には社内の保育所があります。,on-site,社内の,反：off-site（社外の・現場から離れた）
807,submission,名：提出物・提出,hundreds of submissions from the readers,読者からの何百もの提出物,submissions,提出物,提出（submit）すること、あるいは、提出されたモノを指す名詞。TOEICでは、読者からの便りや投稿、コンテストへの応募作品を指すケースが多い。
808,landmark,名：歴史建造物・目印・重要な出来事,The tower is the town's landmark.,その塔は町の名所です。,landmark,名所,landmarkは観光名所になっている歴史建造物、の意味が重要。パート4のガイドツアーやパート7の記事に出る。
809,wildlife,名：野生動物,a wildlife photographer,野生動物の写真家,wildlife,野生動物,パート7の書評や人物の紹介で出る。ちなみに、TOEICの世界では、「銀行の歴史」「乗り物の歴史（ボート編）」といった、あまり読む気をそそられない本がしばしば書評で取り上げられる。
810,apprentice,名：見習い・実習生,an apprentice technician,技術者見習い,apprentice,見習い,「彼は見習いの技術者でスタートし、役員まで上り詰めました」といったパート4の人物紹介で出る単語。
811,premier,形：最高の・第1位の,one of Tokyo's premier restaurants,東京で最高のレストランの一つ,premier,最高の,イングランドのサッカーリーグの1部は「プレミアリーグ」と呼ばれる。動：premiere（初日・初演する） 例：the world premiere（世界初公演）
812,intensive,形：集中的な,a three-day intensive training seminar,3日間の集中的な研修,intensive,集中的な,新入社員研修等で使われる表現。
813,amendment,名：改正・修正,make amendments to the contract,契約書に修正を加える,amendments,修正,カタカナ語の「アメンド」は、「修正、訂正」の意味で、貿易実務等で使われる。動：amend（修正する） 同：change（変更）・modification（修正）・adjustment（調整）
814,respectively,副：それぞれ,"Tex and Masaya, 16 and 18, respectively.",テックスとマサヤ、それぞれ16歳と18歳,respectively,それぞれ,パート7では「それぞれ」が何を指しているのかを必ずチェックすること。ここでは、Tex=16、Masaya=18。
815,fabric,名：生地・織物,check fabric samples,生地サンプルをチェックする,fabric,生地,同：textile（織物） 例：textile industry（繊維業界）
816,catering,名：仕出し・出前・ケータリング,catering service,仕出しサービス,catering,仕出し,イベントに飲食物を提供するサービスのこと。動詞のcater（仕出しサービスを提供する）と合わせてLRのどちらでも出る。
817,furnished,形：家具付きの,a fully furnished room,完全に家具が付いた部屋,furnished,家具が付いた,furniture（家具）が付いた部屋のこと。不動産の広告で出る。
818,periodical,名：定期刊行物,publish a periodical,定期刊行物を出版する,periodical,定期刊行物,periodicalは、一定のperiod（期間）ごとに発行される専門誌のこと。
819,intact,形：傷がない,Everything arrived intact.,すべてが無傷で届いた。,intact,無傷で,パート7の引っ越し・配送関連の文書で出る。
820,duration,名：継続期間,for the duration of the event,イベントの期間中,duration,期間,for the duration of（〜が続いている間）のフレーズで押さえる。
821,diagnosis,名：診断,receive a medical diagnosis,医療診断を受ける,diagnosis,診断,動詞のdiagnose（診断する）も重要。形：diagnostic（診断の）
822,surpass,動：超える,surpass last year's sales,去年の売上を超える,surpass,超える,sur（上）をpass（通る）が語源。同：surface（上面→表面）・surcharge（上の料金→追加料金） 類：exceed（超える）
823,contractor,名：請負業者・契約業者,a construction contractor,建設請負業者,contractor,請負業者,contractorは、契約（contract）を結んで業務を請け負う業者のこと。カタカナ語にもなっている「ゼネコン」はgeneral contractor（総合建設請負業者）の略。
824,turnover,名：離職率,staff turnover,スタッフの離職率,turnover,離職率,TOEICの世界には、離職率の高いブラック企業は存在しない。
825,applicable,形：適用される,The rule is applicable to all employees.,その規則は全社員に適用されます。,applicable,適用されます,動詞のapplyについては多義語のページ参照。
826,municipal,形：市の・市営の,the municipal government,市政府,municipal,市,文脈によって「市の」「町の」「市営の」「町営の」といった意味になる。
827,inactive,形：怠惰な・活動していない,an inactive lifestyle,怠惰なライフスタイル,inactive,怠惰な,activeではないこと。パート7の正解のキーワードで出たことがある。
828,tailor,動：(ニーズや目的に合うように)合わせる・調整する,tailor services to clients' needs,顧客のニーズにサービスを合わせる,tailor,合わせる,「テーラーメイド」のシャツは個人の体形や希望に合わせて仕立てたシャツのこと。
829,clerical,形：事務の・事務職の,clerical duties,事務の仕事,clerical,事務の,求人広告の職務内容で出る。
830,constraint,名：制約,due to time constraints,時間に制約があるため,constraints,制約,同：budget constraints（予算の制約）
831,prestigious,形：権威のある・誉れ高い,a prestigious title,権威のある肩書,prestigious,権威のある,「TOEIC担当専務執行役員」のようにいかにも権威が感じられる肩書のこと。
832,entrepreneur,名：起業家,a young entrepreneur,若き起業家,entrepreneur,起業家,「アントレプレナー」とカタカナ語にもなっている。関：venture（新事業）
833,adverse,形：良くない・不利な・逆の,adverse health effects,健康面への良くない影響,adverse,良くない,副：adversely（逆に・不利に）
834,designated,形：指定された・指名された,a designated parking area,指定の駐車区域,designated,指定の,「駐車場が工事中なので、社員は隣のビルの指定の駐車スペースに車を止めてください」といったパート4のアナウンス等で出る。ちなみに、野球のDH（指名打者）はdesignated hitterの略。
835,advocate,名：提唱者・支持者 動：提唱する,an advocate for energy efficiency,省エネの提唱者,advocate,提唱者,動詞でも出る。例：The CEO advocates for energy efficiency.（そのCEOは省エネを提唱している）
836,justification,名：正当化の理由・正当化,justification for the extra fee,追加料金の正当な理由,justification,正当な理由,「値段が高いのは質がいいからです」等、何かをjustify（正当化する）理由のこと。類義語のrationale（論理的根拠）も出題例がある。
837,authentic,形：本物の,authentic works of art,本物の芸術作品,authentic,本物の,「伝統に従った本格的な」の意味もあり、authentic Japanese food（本物の日本料理）といった形で使われる。
838,reorganization,名：組織替え・業務再編,a major reorganization,大きな組織替え,reorganization,組織替え,TOEICの世界では、会社社長、編集長、医師や弁護士といった社会的地位の高いポジションに女性が就いているケースが非常に多い。
839,discontinued,形：(製造・販売が)終了した,a discontinued appliance,製造が終了した電化製品,discontinued,製造が終了した,dis（not）＋continue（継続）で「生産や販売の継続を止める」の意味。
840,optimistic,形：楽観的な,cautiously optimistic about,〜について慎重ながらも楽観的な,optimistic,楽観的な,類：hopeful（希望に満ちた） 関：optimist（楽観主義者）
841,precaution,名：予防策・予防措置,as a precaution,予防措置として（念のため）,precaution,予防措置,pre（前）もってcaution（注意）すること。同：take precautions（予防策を講じる）
842,proceeds,名：収益,The proceeds will go to charity.,収益は慈善活動に回されます。,proceeds,収益,チャリティイベントの文書の必須語。
843,interact,動：交流する,interact with colleagues,同僚と交流する,interact,交流する,形：interactive（双方向の） 例：an interactive game（インタラクティブゲーム：画面と双方向でやり取りするゲームのこと）
844,array,名：大量・多数,an array of books,ズラリと並んだ本,array,ズラリと並んだ,an array ofは、特定のタイプのものがズラリと並んでいる様子を示す表現。
845,fragile,形：壊れやすい・はかない,fragile items,壊れやすいモノ,fragile,壊れやすい,Life is fragile.（人生は、はかないものだ—Steve Jobsの言葉）
846,persistence,名：粘り強さ,persistence in job search,仕事探しでの粘り強さ,persistence,粘り強さ,TOEICの世界では、就活で失敗する人は存在しない。形：persistent（粘り強い・継続的な）
847,disregard,動：無視する,Please disregard my previous e-mail.,この前のメールは無視してください。,disregard,無視して,類：ignore（無視する）
848,integrate,動：統合する・まとめる,Colorful illustrations are integrated with the text.,カラフルなイラストが文字と融合している。,integrated,融合している,より高い効果を得るために、2つ以上のモノをまとめる、あるいは中に組み込むこと。
849,automated,形：自動化された,an automated message,自動化されたメッセージ,automated,自動化された,電話等の自動応答メッセージのこと。関：ATM（Automated Teller Machine：現金自動預け払い機）
850,enroll,動：登録する・入会する・入学する,enroll in an aerobics class,エアロビクスのクラスに入る,enroll,入る,学校やコースに正式に入ること。名：enrollment（入会・登録・登録者数） 例：high enrollment（多数の登録者数）
851,malfunction,名：故障 動：故障する,a machine malfunction,機械の故障,malfunction,故障,malの語源はbad。「マルな（のに）故障」と語呂合わせで覚えるのも手。
852,ongoing,形：進行中の・続いている,an ongoing project,進行中のプロジェクト,ongoing,進行中の,going on（続いている）こと。例：ongoing negotiations（進行中の交渉）
